source_file,raw_text,avg_ocr_confidence,error
IMG_3334.PNG,"11:32 8 all > €
< Agenda
& Filters Q Search
Rooftop Stage Opening Remarks
Day 1
1-1
12:40 pm - 12:45 pm [4
© Rooftop Stage e Rooftop Stage
Break on the Main Stage
12:45 pm - 01:15 pm A
© Main Stage e Main Stage
DEV PANEL: Scaling Trust:
Developers Building Privacy and
Communities in Web3
12:45 pm - 01:15 pm
Andrew Stone (Nexa: Bitcoin Unlimited), Jorrin F
Bruns (Algorand Foundation), Lauren Dutton
(Fhenix), Alex Hochberger (Web3 Enabler),
Russell Castagnaro (Board Member,
SporkDAO and ETHDenver)
© Rooftop Stage e Rooftop Stage
ETHWomen Panel: Shaping
Tomorrow: Top Industry Women
at the Helm of Web3
12:50 pm - 01:15 pm
Jaime Leverton (ReserveOne), Emma Todd FA
(MMH Technology Group), Elena Sinelnikova
(CryptoChicks & Metis), Ashley Wright (The
Crypto Strategy Academy), Heather Hartinger
(Mainsail Family Office Collective)
© Argentum Al Stage @ Entice e ETHWomen
Rum Bar brought to you by
Cayman Finance
I-1
01:00 pm-03:00 pm [4
© Outdoor Cabana e Events",89.37,
IMG_3335.PNG,"< Agenda
2 Filters Q Search
Sponsor Appreciation &
Introductions to Facilitated
Networking hosted by AWIC 7
01:15 pm - 01:20 pm [4
Julie Lamb (NFT-vip.io)
© Argentum Al Stage @ Entice e ETHWomen
Democratizing Real Estate
Investment Through
Tokenization. Presented by
Pledge Protocol 4
01:15 pm - 01:30 pm
David Gallo (Pledge Protocol)
© Rooftop Stage e Rooftop Stage
PANEL: Data, Defense, and
Decentralization: Security for the
Onchain Era
01:15 pm - 01:45 pm FA
Arnaud Simeray (Dune), Wesley Crook (FP
Block), André Beganski (Decrypt)
© Main Stage e Main Stage
Facilitated Networking hosted by
AWIC @ ETHWomen
I-1

01:15 pm-02:15 pm [4
© Argentum Al Stage @ Entice e Events
Spotlight on Success: Association
for Women in Cryptocurrency
01:20 pm - 01:25 pm I-t
Amanda Wick (Association for Women in fF
Cryptocurrency)
© Argentum Al Stage @ Entice e ETHWomen",90.16,
IMG_3336.PNG,"< Agenda
2 Filters Q Search

Facilitated Networking hosted by
the Association for Women in
Cryptocurrency
01:25 pm - 02:10 pm FA
Amanda Wick (Association for Women in
Cryptocurrency)
© Argentum Al Stage @ Entice e ETHWomen
Redefining Finance Through
Tokenized Real Estate. Presented
by Palladium Network 7
01:30 pm - 01:45 pm [4
Kevin Boeve (Palladium Network)
© Rooftop Stage e Rooftop Stage
Fireside Chat: IP and Blockchain:
Next wave of mainstream
adoption
01:45 pm - 02:00 pm FA
Evan Kuhn (DeLorean), Rohan Handa
(Mysten Labs)
© Main Stage e Main Stage |
The 99% Delusion: Why Crypto
Has Failed (And How We Fix It).
Presented by NolDPay Inc. 7
01:45 pm - 02:00 pm [4
Ryan Pacht (NoIDPay Inc.)
© Rooftop Stage e Rooftop Stage
Store, Grow, Spend: Leading The
Evolution of Personal Finance.
Presented by Tangem 7
02:00 pm - 02:15 pm [4",89.89,
IMG_3337.PNG,"< Agenda
> Filters Q Search
Store, Grow, Spend: Leading The
Evolution of Personal Finance.
Presented by Tangem 7
02:00 pm - 02:15 pm [4
Marcos Nunes (Tangem Pay)
© Main Stage e Main Stage
Fireside Chat: Building for the
greater good of all humanity
using Web3 and Emerging
Technologies 7
02:00 pm - 02:25 pm a
Janelle Chalouhi (Venusventures Inc.), Sam
Bourgi (Cointelegraph)
© Rooftop Stage e Rooftop Stage
ETHWomen Closing Remarks
with Julie Lamb
02:10 pm - 02:15 pm FA
Julie Lamb (NFT-vip.io)
© Argentum Al Stage @ Entice e ETHWomen
Fireside Chat: Peace Through
Trade: A Blockchain honored at
the United Nations, Al
Integrated, Sustainable and
Scalable Web3 7
02:15 pm - 02:35 pm A
Erai Beckmann (Peace Through Trade
Blockchain & PTT Coin), Justyna Osowska
(Women in Blockchain Canada)
© Main Stage e Main Stage
| Web3 in Travel. Presented",90.45,
IMG_3338.PNG,"< Agenda

& Filters Q Search
Web3 in Travel. Presented
by Sleap.io
02:25 pm - 02:40 pm Fy
Michael Ros (Sleap.io)
© Rooftop Stage e Rooftop Stage
Quantum, a new era of web 3
gaming. Presented by Quantum
02:35 pm - 02:45 pm FA
Francky Perez (QUANTUM TCG)
© Main Stage e Main Stage
Presentation by Brian Esposito
from Diamond Lake Minerals
02:40 pm - 02:55 pm Fy
Brian J. Esposito (DiamondLake)
© Rooftop Stage e Rooftop Stage
Announcement by Dustin
Stockton from Look
02:45 pm- 02:55 pm FA
Dustin Stockton (Look)
© Main Stage e Main Stage
PANEL: Tokenizing Property: The
Future of Real Estate ina Web3
World
02:55 pm - 03:20 pm i
Diego Ojeda (Rilea Group), Dico Angelo
(E11EVEN Miami), Erik Mendelson (Avanti
Way Realty), Natalia Garcia (Natcrypto Realty)
© Main Stage e Main Stage

Eoowamiems m._._.og te. om",88.31,
IMG_3339.PNG,"< Agenda
> Filters Q Search

PANEL: Decentralized by Design:
The Future of Community in
Web3
02:55 pm - 03:25 pm 7
My Name is Mudd (K9 Finance), James Slusser [4
(Founder, Kurkuma), Garett Nell (Totem Grid),
Anthony Werner (Shiro Neko), Jessica
Pegueros (InvestorBrandNetwork)
© Rooftop Stage e Rooftop Stage
Empowering the Next Wave -
Data-Driven Crypto Trading.
Presented by SpearTrades 7
03:20 pm - 03:35 pm [4
Sumit Arya (SpearTrades)
© Main Stage e Main Stage
Presentation by Blaer
Technologies

1-1
03:25 pm-03:40 pm [4
© Rooftop Stage e Rooftop Stage
Trusted Verifiable Economic Data |
in Real Time: Why it Matters.
Presented by Truflation 7
03:35 pm - 03:50 pm [4
Betty Sharples (Truflation)
© Main Stage e Main Stage
PANEL: From Surviving to
Thriving: How Blockchain Opens
Doors for Women
03:40 pm - 04:05 pm",90.48,
IMG_3341.PNG,"< Agenda
> Filters Q Search
PANEL: From Surviving to
Thriving: How Blockchain Opens
Doors for Women
03:40 pm - 04:05 pm 7
Jill Ford (Bitford Digital), Yaeunda Pou [4
Williams (GeniusRoom), Nina Knox ($RSOL
Movement Meme), Kelly Ann Collins
(SheCrypto)
© Rooftop Stage e Rooftop Stage
RWA PANEL: From Tangible to
Tokenized: The Future of Real
World Assets
03:50 pm - 04:20 pm 7
Brian J. Esposito (DiamondLake), Nikita [4
Sachdev (Luna Media Corporation), Kyle
Kempler (RAZE), Tory Ricalis (Titl), Todd
Shapiro (Red Light Holland)
© Main Stage e Main Stage
Rooftop Stage Closing Remarks
Day 1
1-1
04:05 pm-04:15 pm [4
© Rooftop Stage e Rooftop Stage
NFT PANEL: Owning the
Moment: How NFTs Are
Redefining Digital Culture
04:05 pm - 04:45 pm 7
Scott Spiegel (BitBasel), Oliver Maroney [4
(OpenSea), King Ant (Doginal Dogs), Kenn
Bosak (#NotAnotherBitcoinPodcast), Julie
Lamb (NFT-vip.io)
© Rooftop Stage e Rooftop Stage",90.45,
IMG_3342.PNG,"< Agenda
& Filters Q Search

WHY $PENGU. Presented by
Pudgy Penguins
04:20 pm - 04:35 pm FA
Luca Schnetzler (Pudgy Penguins)
© Main Stage e Main Stage
Happy Hour with Optio
04:30 pm - 06:30 pm A
© Argentum Al Stage @ Entice e Events
Fireside Chat with Iggy Azalea:
The Death of Celebrity Coins
04:35 pm - 05:00 pm 7
Iggy Azalea (SMOTHER), Jake Antifaev [4
(Thrust), N3on. (N3on Media), André Beganski
(Decrypt)
© Main Stage e Main Stage
INVESTMENT PANEL: The Future
of Investing: From Digital Assets
to Tokenized Markets
05:00 pm - 05:30 pm 7
Adam Cai (Virgo Group), Kyle Klemmer [4
(Blockstreet), Aaron Grinhaus (Grinhaus Law
Firm), Lincoln B. (Rhythm), David Wachsman
(Wachsman) |
© Main Stage e Main Stage
TRADFI TO DEFI PANEL: TradFi
Meets DeFi: Building Bridges in
Blockchain
05:30 pm - 06:00 pm 7
Roshan Robert (OKX), Charles Allen (BTCS [4
Inc.), Sidney Powell (Maple Finance), Annelise
Osborne (Author), Ashton Addison (Crypto
Coin Show)",89.87,
IMG_3343.PNG,"< Agenda
> Filters Q Search
TRADFI TO DEFI PANEL: TradFi
Meets DeFi: Building Bridges in
Blockchain
05:30 pm - 06:00 pm 7
Roshan Robert (OKX), Charles Allen (BTCS [4
Inc.), Sidney Powell (Maple Finance), Annelise
Osborne (Author), Ashton Addison (Crypto
Coin Show)
© Main Stage e Main Stage
Day 1 Main Stage
Closing Remarks
06:00 pm - 06:05 pm tt
Mahyar Akhbari (Blockchain Futurist ia
Conference)
© Main Stage e Main Stage
Hard Rock Guitar Light Show
08:30 pm - 09:00 pm F4
© Futurist e Events
6 Registration Open

08:00 am - 06:00 pm HH

Nov A
© Futurist e Futurist
Al Futurist Conference
Doors Open
09:00 am - 10:00 am FA
© Argentum Al Stage @ Entice e Al

Futurist Conference
Rooftop Stage Doors Open",89.49,
IMG_3344.PNG,"< Agenda
& Filters Q Search

Rooftop Stage Doors Open
09:00 am - 10:00 am A
© Rooftop Stage e Rooftop Stage
Day 2 Main Stage
Opening Remarks
09:30 am - 09:35 am I-1
Mahyar Akhbari (Blockchain Futurist ia
Conference)
© Main Stage e Main Stage
Welcoming from the City of
Miami: The Collaborative Future:
Building the Intelligent City
Together 1
09:35 am - 09:40 am A
Keith A. Carswell (City of Maimi's Department
of Economic Innovation & Development)
© Main Stage e Main Stage
Insights from 200 Crypto CEOs.
Presented by Blockchain North
09:40 am - 09:50 am FA
Florent Thévenin (Blockchain North)
© Main Stage e Main Stage
Quantum Computers Will Steal
Your Coins, Unless... Presented by
Project Eleven 7
09:50 am - 10:05 am [4
Graeme Moore (Project Eleven)
© Main Stage e Main Stage",90.83,
