company_id,company_name,number_of_sessions,number_of_speakers,topic_diversity,company_influence_score
company_0106,Meanwhile,1,1,1,10.0
company_0107,Messari,1,1,1,10.0
company_0108,MoonPay,1,1,1,10.0
company_0110,N3on Media,1,1,1,10.0
company_0112,NFTCLT,1,1,1,10.0
company_0113,Natcrypto Realty,1,1,1,10.0
company_0114,New Friendship Tech,1,1,1,10.0
company_0117,Nexus F Labs,1,1,1,10.0
company_0119,Notabene,1,1,1,10.0
company_0120,OG Labs,1,1,1,10.0
company_0122,OLAGG,1,1,1,10.0
company_0123,OPTN Labs,1,1,1,10.0
company_0125,OpenSea,1,1,1,10.0
company_0126,Optio Blockchain,1,1,1,10.0
company_0127,Oregon Blockchain Group,1,1,1,10.0
company_0128,PTT COIN,1,1,1,10.0
company_0129,Palladium Network,1,1,1,10.0
company_0131,Peace Through Trade Blockchain & PTT Coin,1,1,1,10.0
company_0132,Phala Cloud,1,1,1,10.0
company_0133,Pledge Protocol,1,1,1,10.0
company_0134,PriceDepth,1,1,1,10.0
company_0135,Project Eleven,1,1,1,10.0
company_0136,Pudgy Penguins,1,1,1,10.0
company_0137,Pulse Digital Marketing,1,1,1,10.0
company_0139,QUANTUM TCG,1,1,1,10.0
company_0140,Quantum Block Holdings,1,1,1,10.0
company_0142,RAZE,1,1,1,10.0
company_0147,Rhythm,1,1,1,10.0
company_0148,Rilea Group,1,1,1,10.0
company_0149,SDM,1,1,1,10.0
company_0150,SMOTHER,1,1,1,10.0
company_0151,Sadis & Goldberg LLP,1,1,1,10.0
company_0152,Sapien,1,1,1,10.0
company_0155,Sei Development Foundation,1,1,1,10.0
company_0157,SheCrypto,1,1,1,10.0
company_0158,Shibwomen/Queens of Crypto,1,1,1,10.0
company_0159,Shiro Neko,1,1,1,10.0
company_0160,SingularityNet,1,1,1,10.0
company_0161,SingularityNet and ASI Alliance,1,1,1,10.0
company_0162,Sleap.io,1,1,1,10.0
company_0163,Spaces Host,1,1,1,10.0
company_0164,SpearTrades,1,1,1,10.0
company_0167,Stocktwits,1,1,1,10.0
company_0168,Striped Pig Distillery,1,1,1,10.0
company_0169,Sullivan Hart LLP,1,1,1,10.0
company_0170,Swarm,1,1,1,10.0
company_0172,Tangem Pay,1,1,1,10.0
company_0173,Tether and WAX,1,1,1,10.0
company_0175,ThreeSquared,1,1,1,10.0
company_0176,Thrust,1,1,1,10.0
company_0177,Titl,1,1,1,10.0
company_0178,Totem Grid,1,1,1,10.0
company_0180,Truflation,1,1,1,10.0
company_0181,Trusted Smart Chain,1,1,1,10.0
company_0182,Vault12,1,1,1,10.0
company_0183,Venusventures Inc.,1,1,1,10.0
company_0184,Virgo Group,1,1,1,10.0
company_0185,W3BC Media,1,1,1,10.0
company_0186,WOLF Bitcoin,1,1,1,10.0
company_0187,Wachsman,1,1,1,10.0
company_0188,Web3 Enabler,1,1,1,10.0
company_0190,White Star Capital,1,1,1,10.0
company_0192,WonderFi,1,1,1,10.0
company_0193,XION,1,1,1,10.0
company_0196,Zyphe,1,1,1,10.0
company_0197,basketball.fun,1,1,1,10.0
company_0198,eToro,1,1,1,10.0
company_0199,ether.fi,1,1,1,10.0
