speaker_id,speaker_name,speaker_title,speaker_company,number_of_sessions,number_of_topics,number_of_stages,speaker_influence_score
speaker_0057,Dico Angelo,,E11EVEN Miami,1,1,1,10.0
speaker_0059,Diego Ojeda,,Rilea Group,1,1,1,10.0
speaker_0060,Dustin Robinson Esp. CPA,,LumaLex Law,1,1,1,10.0
speaker_0061,Dustin Stockton,,Look,1,1,1,10.0
speaker_0062,Dylan Dewdney,,Kuvi.ai,1,1,1,10.0
speaker_0065,Emma Todd,,MMH Technology Group,1,1,1,10.0
speaker_0066,Erai Beckmann,,Peace Through Trade Blockchain & PTT Coin,1,1,1,10.0
speaker_0067,Eric Spivak,,New Friendship Tech,1,1,1,10.0
speaker_0068,Eric Trump,,American Bitcoin,1,1,1,10.0
speaker_0070,Erik Mendelson,,Avanti Way Realty,1,1,1,10.0
speaker_0071,Evan Kuhn,,DeLorean,1,1,1,10.0
speaker_0072,Everton Fraga,,Amazon Web Services,1,1,1,10.0
speaker_0073,Fadjiah Collin-Mazile,,CoinList,1,1,1,10.0
speaker_0074,Florent Thévenin,,Blockchain North,1,1,1,10.0
speaker_0075,Francky Perez,,QUANTUM TCG,1,1,1,10.0
speaker_0076,Gabriel Sadoun,,DigiShares,1,1,1,10.0
speaker_0077,Garett Nell,,Totem Grid,1,1,1,10.0
speaker_0078,George Levy,,Blockchain Institute of Technology,1,1,1,10.0
speaker_0079,George Varghese F,,OG Labs,1,1,1,10.0
speaker_0080,Gianni D'Alerta,,Purple Horizons: Marketing Innovation Lab,1,1,1,10.0
speaker_0081,Graeme Moore,,Project Eleven,1,1,1,10.0
speaker_0082,Guillermo Gonzalez III,,Apex,1,1,1,10.0
speaker_0084,Heather Hartinger,,Mainsail Family Office Collective,1,1,1,10.0
speaker_0085,Henryk Dabrowski,Managing Partner,F3 Funds,1,1,1,10.0
speaker_0086,Iggy Azalea,,SMOTHER,1,1,1,10.0
speaker_0087,Jacqueline Cooper,,Blockchain Legal Institute,1,1,1,10.0
speaker_0089,Jake Antifaev,,Thrust,1,1,1,10.0
speaker_0090,Jake Claver,,Digital Ascension Group,1,1,1,10.0
speaker_0091,James Slusser,Founder,Kurkuma,1,1,1,10.0
speaker_0094,Janelle Chalouhi,,Venusventures Inc.,1,1,1,10.0
speaker_0095,Janet Adams,COO,SingularityNet,1,1,1,10.0
speaker_0096,Jaou Toure,,Spree.Finance,1,1,1,10.0
speaker_0098,Jason Leibowitz,,Meanwhile,1,1,1,10.0
speaker_0099,Jay Rogers,,Infineo,1,1,1,10.0
speaker_0100,Jeff,,Chapo,1,1,1,10.0
speaker_0101,Jenni Rogers,,Shibwomen/Queens of Crypto,1,1,1,10.0
speaker_0102,Jennifer Barnett,,Oregon Blockchain Group,1,1,1,10.0
speaker_0103,Jennifer Hughes,,Crypto Kids!,1,1,1,10.0
speaker_0104,Jerry Qian,,OPTN Labs,1,1,1,10.0
speaker_0105,Jessica Pegueros,,InvestorBrandNetwork,1,1,1,10.0
speaker_0106,Jesus Martinez,,Legion,1,1,1,10.0
speaker_0107,Jill Ford,,Bitford Digital,1,1,1,10.0
speaker_0108,John Lee,,PriceDepth,1,1,1,10.0
speaker_0110,Jonathan Morgan,,Stocktwits,1,1,1,10.0
speaker_0111,Jorrin F Bruns,,Algorand Foundation,1,1,1,10.0
speaker_0112,Josh Levy,,"Mayor, Mayor of Hollywood, FL.",1,1,1,10.0
speaker_0113,Juan Allen,,OLAGG,1,1,1,10.0
speaker_0115,Justin Barlow,,Sei Development Foundation,1,1,1,10.0
speaker_0116,Justin Custardo,,W3BC Media,1,1,1,10.0
speaker_0118,Karen Hsu,,Appdome,1,1,1,10.0
speaker_0119,Katie Evans,,Swarm,1,1,1,10.0
speaker_0120,Keeyan Ravanshid,,HODL Markets Inc,1,1,1,10.0
speaker_0121,Keith A. Carswell,,City of Maimi's Department of Economic Innovation & Development,1,1,1,10.0
speaker_0122,Kelly Ann Collins,,SheCrypto,1,1,1,10.0
speaker_0123,Kenn Bosak,,#NotAnotherBitcoinPodcast,1,1,1,10.0
speaker_0124,Kevin Boeve,,Palladium Network,1,1,1,10.0
speaker_0125,King Ant,,Doginal Dogs,1,1,1,10.0
speaker_0127,Kyle Kempler,,RAZE,1,1,1,10.0
speaker_0128,Kyle Klemmer,,Blockstreet,1,1,1,10.0
speaker_0129,Lana Schwartzman,,Notabene,1,1,1,10.0
speaker_0130,Laura Leparulo,,Blockchain Futurist Conference,1,1,1,10.0
speaker_0131,Lauren Dutton,,Fhenix,1,1,1,10.0
speaker_0133,Leggett,,Assure DeFi,1,1,1,10.0
speaker_0135,Lin Dai,,Spree.Finance,1,1,1,10.0
speaker_0136,Lincoln B.,,Rhythm,1,1,1,10.0
speaker_0137,Lisa Loud,,Secret Network,1,1,1,10.0
speaker_0138,Logan Golema,,Heir.es,1,1,1,10.0
speaker_0139,Luca Schnetzler,,Pudgy Penguins,1,1,1,10.0
speaker_0140,Lucia Gallardo,Co-Founder,AeraTech,1,1,1,10.0
speaker_0142,Marcos Nunes,,Tangem Pay,1,1,1,10.0
speaker_0143,Maria Lobanova,,Interstellar Digital,1,1,1,10.0
speaker_0145,Maro Vardanyan,,Quantum Block Holdings,1,1,1,10.0
speaker_0146,Matt Nicosia,,Trusted Smart Chain,1,1,1,10.0
speaker_0147,Max Avery,,Digital Ascension Group,1,1,1,10.0
speaker_0148,Michael Ros,,Sleap.io,1,1,1,10.0
speaker_0149,Mike Ho,,American Bitcoin,1,1,1,10.0
speaker_0150,Mostafa Al-Mashita,,SDM,1,1,1,10.0
speaker_0151,Mr Lightspeed,,"Lightspeed Crypto Services, LLC",1,1,1,10.0
speaker_0152,My Name is Mudd,,K9 Finance,1,1,1,10.0
speaker_0153,N3on.,,N3on Media,1,1,1,10.0
speaker_0154,Natalia Garcia,,Natcrypto Realty,1,1,1,10.0
speaker_0155,Nicole Murphy,,eToro,1,1,1,10.0
speaker_0156,Nikita Sachdev,,Luna Media Corporation,1,1,1,10.0
speaker_0157,Nina Knox,,$RSOL Movement Meme,1,1,1,10.0
speaker_0158,Nov A,,,1,1,1,10.0
speaker_0159,Oliver Maroney,,OpenSea,1,1,1,10.0
speaker_0160,Patrick Delaney,,Ampli,1,1,1,10.0
speaker_0161,Pavan Agarwal,,Angel Ai,1,1,1,10.0
speaker_0162,Peace Through Trade II Blockchain,,PTT COIN,1,1,1,10.0
speaker_0163,Peter von Irle,,Sullivan Hart LLP,1,1,1,10.0
speaker_0164,Pia Pascal,,InOrbyt,1,1,1,10.0
speaker_0165,Pixie Paula Dezzutti,,Striped Pig Distillery,1,1,1,10.0
speaker_0166,Ralph F Quintero,,Purple Horizons: Marketing Innovation Lab,1,1,1,10.0
speaker_0167,Reed Baum,,Sarson Funds,1,1,1,10.0
speaker_0168,Representative Webster Barnaby,,Florida House of Representatives,1,1,1,10.0
speaker_0172,Rok Kopp,,ether.fi,1,1,1,10.0
speaker_0173,Rosalyn Brown,,Berkshire Hathaway HS,1,1,1,10.0
speaker_0179,Sam Drissi,,Artizyou + BIPQUANTUM,1,1,1,10.0
speaker_0180,Sam Lieberman,,Sadis & Goldberg LLP,1,1,1,10.0
speaker_0182,Samuel Armes,,,1,1,1,10.0
speaker_0183,Sandro F Gonzalez,,KWARXS,1,1,1,10.0
speaker_0184,Scarlett Arana,,BitBasel,1,1,1,10.0
speaker_0185,Scott Meadows,,Coinbase,1,1,1,10.0
speaker_0186,Scott Spiegel,,BitBasel,1,1,1,10.0
speaker_0187,Senator Kirk Cullimore,,,1,1,1,10.0
speaker_0188,Sep Alavi,,White Star Capital,1,1,1,10.0
speaker_0189,Shaela Rae,,Collas Crill LLP,1,1,1,10.0
speaker_0190,Shan Aggarwal,,Coinbase,1,1,1,10.0
speaker_0191,Shane Cook,,Pulse Digital Marketing,1,1,1,10.0
speaker_0194,Stella Martirosian,,AML Incubator,1,1,1,10.0
speaker_0195,Sumit Arya,,SpearTrades,1,1,1,10.0
speaker_0196,Sydney Csuk,,Spaces Host,1,1,1,10.0
speaker_0197,Tity Lyngdoh,,Dolphinze,1,1,1,10.0
speaker_0200,Tony Bravado,,NFTCLT,1,1,1,10.0
speaker_0201,Tony Evans,,CETI,1,1,1,10.0
speaker_0202,Tory Ricalis,,Titl,1,1,1,10.0
speaker_0203,Toufi Saliba,,HyperCycle.ai,1,1,1,10.0
speaker_0204,Trevor Koverko,,Sapien,1,1,1,10.0
speaker_0205,Tristan Thompson,,basketball.fun,1,1,1,10.0
speaker_0206,Warren Calove,,Go Arlo,1,1,1,10.0
speaker_0207,Wasim Ahmad,,Vault12,1,1,1,10.0
speaker_0208,Wesley Crook,,FP Block,1,1,1,10.0
speaker_0209,William Quigley,,Tether and WAX,1,1,1,10.0
speaker_0210,Yaeunda Pou Williams,,GeniusRoom,1,1,1,10.0
speaker_0211,Yolanda.,,Coinbase,1,1,1,10.0
speaker_0214,Zoé Fox,Partner,Phala Cloud,1,1,1,10.0
speaker_0215,ia Tyler Spalding,,Acronym Foundation,1,1,1,10.0
