speaker_name,topic_v2
Tony Evans,AI x Crypto
Tory Ricalis,RWA
Toufi Saliba,AI x Crypto
Trevor Koverko,Other
Tristan Thompson,Infrastructure
Warren Calove,AI x Crypto
Wasim Ahmad,Security
Wesley Crook,Security
William Quigley,Payments
Yaeunda Pou Williams,Social Impact
Yolanda.,Ethereum
Zach Humphries,Other
Zachary Nelson,AI x Crypto
Zachary Nelson,Infrastructure
Zoé Fox,Ethereum
ia Tyler Spalding,Other
